Tanggal,tgl,Value,Status,Color,Persentase
1,1,201.98,Very Unhealthy,#F6573F,16.13%
2,2,91.68,  Moderate,#4A74B4,12.90%
3,3,100.25,  Moderate,#4A74B4,12.90%
4,4,102.57, Unhealthy,#FFED6F,70.97%
5,5,107.56, Unhealthy,#FFED6F,70.97%
6,6,105.41, Unhealthy,#FFED6F,70.97%
7,7,110.34, Unhealthy,#FFED6F,70.97%
8,8,92.94,  Moderate,#4A74B4,12.90%
9,9,110.93, Unhealthy,#FFED6F,70.97%
10,10,222.89,Very Unhealthy,#F6573F,16.13%
11,11,97.63,  Moderate,#4A74B4,12.90%
12,12,141.89, Unhealthy,#FFED6F,70.97%
13,13,118.83, Unhealthy,#FFED6F,70.97%
14,14,117.05, Unhealthy,#FFED6F,70.97%
15,15,123.54, Unhealthy,#FFED6F,70.97%
16,16,118.28, Unhealthy,#FFED6F,70.97%
17,17,257.16,Very Unhealthy,#F6573F,16.13%
18,18,163.96, Unhealthy,#FFED6F,70.97%
19,19,178.43, Unhealthy,#FFED6F,70.97%
20,20,110.87, Unhealthy,#FFED6F,70.97%
21,21,112.43, Unhealthy,#FFED6F,70.97%
22,22,124.04, Unhealthy,#FFED6F,70.97%
23,23,226.98,Very Unhealthy,#F6573F,16.13%
24,24,299.85,Very Unhealthy,#F6573F,16.13%
25,25,108.72, Unhealthy,#FFED6F,70.97%
26,26,125.62, Unhealthy,#FFED6F,70.97%
27,27,139.07, Unhealthy,#FFED6F,70.97%
28,28,105.33, Unhealthy,#FFED6F,70.97%
29,29,117.89, Unhealthy,#FFED6F,70.97%
30,30,125.15, Unhealthy,#FFED6F,70.97%
31,31,132.52, Unhealthy,#FFED6F,70.97%
